full_name,player_id,id_ourlads,id_sharks
Aaron Bailey,4683,,
Aaron Burbridge,3368,,
Aaron Dobson,1365,,
Aaron Dykes,11548,,
Aaron Fuller,6967,,
Aaron Green,3471,,
Aaron Hernandez,516,,
Aaron Jones,4199,Aaron Jones,Aaron Jones
Aaron Lacombe,5772,,
Aaron Murray,2019,,
Aaron Parker,7091,,
Aaron Peck,4384,,
Aaron Robinson,,Aaron Robinson,
Aaron Rodgers,96,Aaron Rodgers,Aaron Rodgers
Aaron Shampklin,8809,,
Aaron Smith,7512,,
Abou Toure,2698,,
Abraham Beauplan,,Abraham Beauplan,
Abram Smith,8190,,
Aca'Cedric Ware,6187,,
Ace Sanders,1450,,
Adam Choice,6491,,
Adam Drake,3033,,
Adam Fuehne,3712,,
Adam Humphries,2822,,
Adam Prentice,,,Adam Prentice
Adam Shaheen,4085,,
Adam Thielen,1689,Adam Thielen,Adam Thielen
Adam Trautman,6869,Adam Trautman,Adam Trautman
Adam Vinatieri,120,,
Adam Zaruba,4768,,
Adetokunbo Ogundeji,,Adetokunbo Ogundeji,
Adonis Jennings,5129,,
Adrian Coxson,2929,,
Adrian Killins,7093,,
Adrian Martinez,11065,,
Adrian Peterson,184,,
Adrien Robinson,1165,,
Ahmad Bradshaw,78,,
Ahmad Fulwood,4929,,
Ahmad Wagner,7228,,
Aidan O'Connell,10866,Aidan O'Connell,
Aj Brown,5859,Aj Brown,Aj Brown
Aj Cole,6555,,Aj Cole
Aj Cruz,2701,,
Aj Derby,2503,,
Aj Dillon,6828,Aj Dillon,Aj Dillon
Aj Green,830,,
Aj Hines,7074,,
Aj Hughes,4912,,
Aj Jenkins,1226,,
Aj Mccarron,1895,,
Aj Ouellette,6664,,
Aj Parker,,Aj Parker,
Aj Richardson,6373,,
Aj Rose,7918,,
Akeem Hunt,2731,,
Akeem Judd,4707,,
Akrum Wadley,5195,,
Al Riles,4937,,
Alan Bonner,1424,,
Albert Okwuegbunam,6843,Albert Okwuegbunam,Albert Okwuegbunam
Albert Wilson,2025,,
Aldrick Robinson,919,,
Aldrick Rosas,3827,,
Alec Bloom,5385,,
Alec Ingold,,,Alec Ingold
Alec Pierce,8142,Alec Pierce,Alec Pierce
Alek Torgersen,4307,,
Aleva Hifo,7235,,
